# SOURCE: NivaBupaHealthInsuranceCompanyLimitedNSEINIVABUPAEstimatesReport.xls
# SHEET: Revisions  (6 of 6)
# DIMS: 403 rows x 5 cols
# ---
				
				
				
				
				
Niva Bupa Health Insurance Company Limited (NSEI:NIVABUPA) > Capital IQ Estimates > Revisions				
				
				
Currency: Reported Currency	Conversion: Today's Spot Rate			
Units: Capital IQ (Default)	Decimals: CapitalIQ (Default)			
Consolidation: Consolidated	Acctg. Standard: Majority Accounting Standard			
				
Current Fiscal Year End: Mar-31-2027 | FQ1 2027 Earnings Release Date: Jul-31-2026				
				
# of Analysts	3	3	1	-
# of Analysts still in Consensus	2	3	1	-
Upward	1	2	1	-
Downward	1	0	0	-
Last 2 Months				
# of Analysts	7	7	2	-
# of Analysts still in Consensus	4	5	1	-
Upward	3	3	1	-
Downward	1	1	0	-
Last 3 Months				
# of Analysts	7	7	2	-
# of Analysts still in Consensus	4	5	1	-
Upward	3	3	1	-
Downward	1	1	0	-
				
Net Income (Excl. Excep)				
	  FY 2027	  FY 2028	  FY 2029	  FY 2030
Last Month				
# of Analysts	5	5	1	-
# of Analysts still in Consensus	4	5	1	-
Upward	2	3	1	-
Downward	2	1	0	-
Last 2 Months				
# of Analysts	9	9	2	-
# of Analysts still in Consensus	7	8	1	-
Upward	4	4	1	-
Downward	3	3	0	-
Last 3 Months				
# of Analysts	9	9	2	-
# of Analysts still in Consensus	7	8	1	-
Upward	4	4	1	-
Downward	3	3	0	-
				
Net Income (GAAP)				
	  FY 2027	  FY 2028	  FY 2029	  FY 2030
Last Month				
# of Analysts	4	4	1	-
# of Analysts still in Consensus	3	3	1	-
Upward	1	2	1	-
Downward	1	0	0	-
Last 2 Months				
# of Analysts	8	8	2	1
# of Analysts still in Consensus	7	7	2	1
Upward	5	5	2	1
Downward	1	1	0	0
Last 3 Months				
# of Analysts	8	8	2	1
# of Analysts still in Consensus	7	7	2	1
Upward	5	5	2	1
Downward	1	1	0	0
				
Net Debt				
	  FY 2027	  FY 2028	  FY 2029	  FY 2030
Last Month				
# of Analysts	1	1	-	-
# of Analysts still in Consensus	1	1	-	-
Upward	0	0	-	-
Downward	0	0	-	-
Last 2 Months				
# of Analysts	1	1	-	-
# of Analysts still in Consensus	1	1	-	-
Upward	0	0	-	-
Downward	0	0	-	-
Last 3 Months				
# of Analysts	1	1	-	-
# of Analysts still in Consensus	1	1	-	-
Upward	0	0	-	-
Downward	0	0	-	-
				
Effective Tax Rate %				
	  FY 2027	  FY 2028	  FY 2029	  FY 2030
Last Month				
# of Analysts	2	2	1	-
# of Analysts still in Consensus	2	2	1	-
Upward	0	0	0	-
Downward	0	0	0	-
Last 2 Months				
# of Analysts	2	2	1	-
# of Analysts still in Consensus	2	2	1	-
Upward	0	0	0	-
Downward	0	0	0	-
Last 3 Months				
# of Analysts	2	2	1	-
# of Analysts still in Consensus	2	2	1	-
Upward	0	0	0	-
Downward	0	0	0	-
				
ROE %				
	  FY 2027	  FY 2028	  FY 2029	  FY 2030
Last Month				
# of Analysts	7	6	1	-
# of Analysts still in Consensus	5	5	1	-
Upward	2	2	1	-
Downward	2	2	0	-
Last 2 Months				
# of Analysts	9	8	1	-
# of Analysts still in Consensus	6	6	1	-
Upward	3	2	1	-
Downward	2	3	0	-
Last 3 Months				
# of Analysts	9	8	1	-
# of Analysts still in Consensus	6	6	1	-
Upward	3	2	1	-
Downward	2	3	0	-
				
ROA %				
	  FY 2027	  FY 2028	  FY 2029	  FY 2030
Last Month				
# of Analysts	3	3	1	-
# of Analysts still in Consensus	3	3	1	-
Upward	1	1	0	-
Downward	2	2	1	-
Last 2 Months				
# of Analysts	4	4	2	1
# of Analysts still in Consensus	3	3	2	1
Upward	2	2	1	1
Downward	1	1	1	0
Last 3 Months				
# of Analysts	4	4	2	1
# of Analysts still in Consensus	3	3	2	1
Upward	2	2	1	1
Downward	1	1	1	0
				
TEV				
	  FY 2027	  FY 2028	  FY 2029	  FY 2030
Last Month				
# of Analysts	1	1	-	-
# of Analysts still in Consensus	1	1	-	-
Upward	1	1	-	-
Downward	0	0	-	-
Last 2 Months				
# of Analysts	1	1	-	-
# of Analysts still in Consensus	1	1	-	-
Upward	1	1	-	-
Downward	0	0	-	-
Last 3 Months				
# of Analysts	1	1	-	-
# of Analysts still in Consensus	1	1	-	-
Upward	1	1	-	-
Downward	0	0	-	-
				
				
Non-Periodic Data Items				
NSEI:NIVABUPA	  Target Price	  LT Growth		
Last Month				
# of Analysts	10	3		
# of Analysts still in Consensus	10	1		
Upward	6	0		
Downward	0	1		
Last 2 Months				
# of Analysts	10	3		
# of Analysts still in Consensus	10	1		
Upward	6	0		
Downward	0	1		
Last 3 Months				
# of Analysts	10	3		
# of Analysts still in Consensus	10	1		
Upward	6	0		
Downward	0	1		
BSE:544286	  Target Price	  LT Growth		
Last Month				
# of Analysts	10	3		
# of Analysts still in Consensus	10	1		
Upward	6	0		
Downward	0	1		
Last 2 Months				
# of Analysts	10	3		
# of Analysts still in Consensus	10	1		
Upward	6	0		
Downward	0	1		
Last 3 Months				
# of Analysts	10	3		
# of Analysts still in Consensus	10	1		
Upward	6	0		
Downward	0	1		
